codigo_municipal,municipio,partido,percentagem_votos,numero_votos,presidentes,maiorias_absolutas,numero_mandatos,orientacao,dummy_direita,dummy_esquerda
101,Águeda,PPD/PSD.MPT,44.77,9991,1,1,4,direita,1,0
102,Albergaria-a-Velha,CDS-PP,59.7,7970,1,1,5,direita,1,0
103,Anadia,MIAP,45.34,6231,1,1,4,independente,0,0
104,Arouca,PS,50.32,6981,1,1,4,esquerda,0,1
105,Aveiro,PPD/PSD.CDS-PP.PPM,51.26,17549,1,1,6,direita,1,0
106,Castelo de Paiva,PPD/PSD,40.04,4375,1,0,3,direita,1,0
107,Espinho,PS,40.23,6618,1,1,4,esquerda,0,1
108,Estarreja,PPD/PSD.CDS-PP,52.31,6014,1,1,4,direita,1,0
109,Santa Maria da Feira,PPD/PSD,48.91,34177,1,1,7,direita,1,0
110,Ílhavo,UPF,33.46,5471,1,0,3,independente,0,0
111,Mealhada,MMMI,37.82,3615,1,0,3,independente,0,0
112,Murtosa,PPD/PSD,71.1,3334,1,1,4,direita,1,0
113,Oliveira de Azeméis,PS,54.87,17730,1,1,6,esquerda,0,1
114,Oliveira do Bairro,CDS-PP,45.58,4984,1,1,4,direita,1,0
115,Ovar,PPD/PSD,57.01,15329,1,1,7,direita,1,0
116,São João da Madeira,PS,51.6,5009,1,1,4,esquerda,0,1
117,Sever do Vouga,PPD/PSD,43.51,3212,1,0,3,direita,1,0
118,Vagos,PPD/PSD,60.7,7087,1,1,6,direita,1,0
119,Vale de Cambra,CDS-PP,58.19,7519,1,1,5,direita,1,0
201,Aljustrel,PS,47.54,2592,1,1,3,esquerda,0,1
202,Almodôvar,PS,70.84,3144,1,1,4,esquerda,0,1
203,Alvito,PS,49.66,658,1,1,3,esquerda,0,1
204,Barrancos,PCP-PEV,46.5,465,1,0,2,esquerda,0,1
205,Beja,PS,39.14,6336,1,0,3,esquerda,0,1
206,Castro Verde,PS,58.43,2309,1,1,3,esquerda,0,1
207,Cuba,PCP-PEV,56.1,1517,1,1,3,esquerda,0,1
208,Ferreira do Alentejo,PS,46.04,1678,1,1,3,esquerda,0,1
209,Mértola,PS,57.61,2449,1,1,4,esquerda,0,1
210,Moura,PS,40.31,2813,1,0,3,esquerda,0,1
211,Odemira,PS,46.66,5577,1,1,5,esquerda,0,1
212,Ourique,PS,53.1,1740,1,1,3,esquerda,0,1
213,Serpa,PCP-PEV,43.07,3058,1,1,4,esquerda,0,1
214,Vidigueira,PCP-PEV,48.58,1545,1,1,3,esquerda,0,1
301,Amares,PPD/PSD.CDS-PP,51.95,5793,1,1,4,direita,1,0
302,Barcelos,PPD/PSD.CDS-PP,45.39,33753,1,1,6,direita,1,0
