	R1	R2	R3	R4	R5	R6
IPCC	-0.033 (0.256)	 	0.027 (0.424)	 	0.085* (0.081)	 
Rendimento mediano	 	-0.001*** (0.001)	 	-0.001* (0.050)	 	0.000 (0.439)
Renda mensal	 	 	 	 	-0.008 (0.504)	-0.004 (0.743)
Taxa de desemprego	 	 	 	 	0.130 (0.501)	0.097 (0.617)
Gini	 	 	 	 	0.269 (0.194)	0.417** (0.045)
Residente estrangeiro	 	 	 	 	-0.090 (0.446)	-0.127 (0.321)
Escolaridade média	 	 	 	 	-1.623 (0.250)	-1.264 (0.366)
Densidade Populacional	 	 	 	 	-0.001 (0.171)	-0.000 (0.308)
Sobrelotação	 	 	 	 	0.316 (0.141)	0.402* (0.062)
Dimensão média agregado	 	 	-6.638*** (0.002)	-8.051*** (0.000)	-7.774** (0.013)	-8.616*** (0.004)
Temperatura média	-0.996*** (0.000)	-0.815*** (0.003)	-0.861*** (0.002)	-0.851*** (0.003)	-0.839** (0.026)	-0.865** (0.030)
Amplitude térmica	 	 	 	 	0.198 (0.433)	0.291 (0.229)
Índice necessidade reparação	 	 	 	 	0.013 (0.525)	0.015 (0.472)
Idade média alojamento	 	 	 	 	0.025 (0.778)	0.053 (0.575)
Proporção com encargos alojamento	 	 	-0.100** (0.017)	-0.038 (0.230)	-0.105* (0.079)	-0.098 (0.103)
Direita	 	 	 	 	1.516 (0.250)	1.385 (0.290)
Esquerda	 	 	 	 	0.673 (0.602)	0.412 (0.740)
Maioria absoluta	 	 	 	 	-0.978 (0.217)	-1.074 (0.195)
Constante	23.282*** (0.000)	26.958*** (0.000)	37.010*** (0.000)	45.650*** (0.000)	31.345** (0.011)	24.518* (0.052)
Obs.	267.000	267.000	267.000	267.000	267.000	267.000
Estatística F	11.485	17.903	13.500	14.454	5.396	5.071
Prob > F	0.000	0.000	0.000	0.000	0.000	0.000
R-quadrado	0.103	0.128	0.205	0.211	0.277	0.268
R-quadrado ajustado	0.096	0.121	0.193	0.199	0.227	0.218
Raíz Erro-Quadrado Médio	4.693	4.629	4.435	4.417	4.340	4.367
* p<0.10, ** p<0.05, *** p<0.01
