	R1	R2
IPCC	0.081 (0.162)	 
Rendimento mediano	 	-0.000 (0.698)
Renda mensal	-0.005 (0.687)	0.003 (0.786)
Taxa de desemprego	0.058 (0.771)	-0.007 (0.973)
Gini	0.132 (0.565)	0.210 (0.360)
Residente estrangeiro	-0.264** (0.044)	-0.387*** (0.003)
Escolaridade média	-2.118 (0.169)	-1.049 (0.460)
Densidade Populacional	-0.000 (0.389)	-0.000 (0.508)
Sobrelotação	0.322 (0.216)	0.388 (0.137)
Agregado 2	-0.326 (0.261)	-0.313 (0.269)
Agregado 3	-0.386* (0.095)	-0.433* (0.057)
Agregado 4	-1.218*** (0.000)	-1.229*** (0.000)
Agregado 5	0.592 (0.561)	0.623 (0.528)
Agregado 6	0.501 (0.789)	0.276 (0.879)
Agregado 7	-0.961 (0.770)	-1.765 (0.584)
Agregado 8	-1.242 (0.840)	-1.209 (0.842)
Agregado 9 ou mais	5.081 (0.232)	5.530 (0.187)
Temperatura média	-1.131** (0.015)	-1.059** (0.022)
Amplitude térmica	0.195 (0.471)	0.275 (0.292)
Reparação ligeira	0.038 (0.598)	0.048 (0.499)
Reparação média	-0.024 (0.904)	-0.041 (0.837)
Reparação profunda	0.121 (0.660)	0.120 (0.658)
Alojamento < 1919	-0.511 (0.344)	-0.552 (0.299)
Alojamento 1919-1945	-0.527 (0.271)	-0.567 (0.233)
Alojamento 1946-1960	-0.998** (0.048)	-1.039** (0.038)
Alojamento 1961-1980	-0.627 (0.204)	-0.667 (0.174)
Alojamento 1981-1990	-0.569 (0.257)	-0.624 (0.210)
Alojamento 1991-2000	-0.771 (0.127)	-0.828* (0.098)
Alojamento 2001-2005	-0.414 (0.409)	-0.441 (0.378)
Alojamento 2006-2010	-0.739 (0.187)	-0.789 (0.157)
Alojamento 2011-2015	-0.590 (0.537)	-0.730 (0.438)
Proprietário com encargos	0.154 (0.289)	0.143 (0.357)
Não proprietário	-0.048 (0.569)	-0.020 (0.813)
Direita	1.339 (0.312)	1.153 (0.378)
Esquerda	0.240 (0.854)	0.035 (0.978)
Maioria absoluta	-0.500 (0.550)	-0.630 (0.475)
Constante	117.196** (0.033)	116.783** (0.033)
Obs.	267.000	267.000
Estatística F	4.167	3.944
Prob > F	0.000	0.000
R-quadrado	0.359	0.351
R-quadrado ajustado	0.262	0.252
Raíz Erro-Quadrado Médio	4.242	4.268
* p<0.10, ** p<0.05, *** p<0.01
