	R_low_80_1	R_low_80_2	R_low_80_3	R_low_80_4	R_low_80_5	R_low_80_6	R_high_80_1	R_high_80_2	R_high_80_3	R_high_80_4	R_high_80_5	R_high_80_6	R_low_85_1	R_low_85_2	R_low_85_3	R_low_85_4	R_low_85_5	R_low_85_6	R_high_85_1	R_high_85_2	R_high_85_3	R_high_85_4	R_high_85_5	R_high_85_6	R_low_90_1	R_low_90_2	R_low_90_3	R_low_90_4	R_low_90_5	R_low_90_6	R_high_90_1	R_high_90_2	R_high_90_3	R_high_90_4	R_high_90_5	R_high_90_6	R_low_95_1	R_low_95_2	R_low_95_3	R_low_95_4	R_low_95_5	R_low_95_6	R_high_95_1	R_high_95_2	R_high_95_3	R_high_95_4	R_high_95_5	R_high_95_6	R_low_100_1	R_low_100_2	R_low_100_3	R_low_100_4	R_low_100_5	R_low_100_6	R_high_100_1	R_high_100_2	R_high_100_3	R_high_100_4	R_high_100_5	R_high_100_6
IPCC	-0.305** (0.018)	 	-0.137 (0.306)	 	0.230 (0.149)	 	0.046 (0.347)	 	0.066 (0.249)	 	0.089 (0.273)	 	-0.343*** (0.000)	 	-0.135 (0.171)	 	0.132 (0.259)	 	0.069 (0.207)	 	0.085 (0.196)	 	0.151* (0.059)	 	-0.394*** (0.000)	 	-0.236*** (0.001)	 	0.031 (0.752)	 	0.014 (0.852)	 	0.070 (0.402)	 	0.105 (0.224)	 	-0.281*** (0.000)	 	-0.132* (0.060)	 	0.073 (0.451)	 	0.013 (0.874)	 	0.053 (0.567)	 	0.156* (0.054)	 	-0.175*** (0.001)	 	-0.055 (0.390)	 	0.092 (0.337)	 	0.045 (0.576)	 	0.096 (0.366)	 	0.242*** (0.009)	 
Rendimento mediano	 	-0.002* (0.054)	 	-0.002** (0.023)	 	-0.001 (0.625)	 	-0.000 (0.581)	 	-0.000 (0.533)	 	-0.000 (0.692)	 	-0.002*** (0.001)	 	-0.002*** (0.002)	 	-0.001 (0.335)	 	-0.000 (0.996)	 	-0.000 (0.973)	 	0.000 (0.947)	 	-0.003*** (0.000)	 	-0.002*** (0.000)	 	-0.001 (0.381)	 	-0.001 (0.293)	 	-0.000 (0.578)	 	-0.001 (0.606)	 	-0.002*** (0.000)	 	-0.002*** (0.001)	 	-0.000 (0.606)	 	-0.001 (0.289)	 	-0.001 (0.462)	 	0.001 (0.594)	 	-0.002*** (0.000)	 	-0.001** (0.024)	 	-0.000 (0.924)	 	-0.001 (0.547)	 	-0.001 (0.593)	 	0.002 (0.618)
Renda mensal	 	 	 	 	-0.029 (0.187)	-0.019 (0.398)	 	 	 	 	-0.011 (0.681)	-0.002 (0.939)	 	 	 	 	-0.023 (0.267)	-0.012 (0.573)	 	 	 	 	-0.020 (0.524)	-0.012 (0.724)	 	 	 	 	-0.023 (0.217)	-0.016 (0.371)	 	 	 	 	-0.016 (0.653)	-0.006 (0.892)	 	 	 	 	-0.013 (0.486)	-0.005 (0.759)	 	 	 	 	-0.031 (0.485)	-0.026 (0.623)	 	 	 	 	-0.015 (0.420)	-0.009 (0.612)	 	 	 	 	-0.010 (0.806)	0.004 (0.954)
Taxa de desemprego	 	 	 	 	0.140 (0.706)	0.084 (0.820)	 	 	 	 	0.357 (0.480)	0.215 (0.667)	 	 	 	 	0.458 (0.202)	0.394 (0.258)	 	 	 	 	0.179 (0.774)	-0.007 (0.991)	 	 	 	 	0.493 (0.149)	0.455 (0.166)	 	 	 	 	0.117 (0.884)	-0.227 (0.798)	 	 	 	 	0.529* (0.061)	0.482* (0.087)	 	 	 	 	-0.308 (0.781)	-0.348 (0.754)	 	 	 	 	0.525* (0.072)	0.470 (0.102)	 	 	 	 	-2.775** (0.047)	-2.848 (0.104)
Gini	 	 	 	 	-0.227 (0.534)	-0.253 (0.522)	 	 	 	 	0.240 (0.610)	0.395 (0.402)	 	 	 	 	-0.153 (0.636)	-0.250 (0.463)	 	 	 	 	0.016 (0.978)	0.352 (0.550)	 	 	 	 	-0.079 (0.783)	-0.184 (0.556)	 	 	 	 	-0.273 (0.698)	-0.003 (0.997)	 	 	 	 	0.114 (0.701)	0.081 (0.799)	 	 	 	 	-0.117 (0.888)	0.270 (0.725)	 	 	 	 	0.155 (0.597)	0.203 (0.511)	 	 	 	 	0.067 (0.939)	0.537 (0.701)
Residente estrangeiro	 	 	 	 	-0.169 (0.362)	-0.287 (0.166)	 	 	 	 	0.502 (0.247)	0.409 (0.397)	 	 	 	 	-0.251 (0.182)	-0.397* (0.062)	 	 	 	 	0.724 (0.137)	0.654 (0.222)	 	 	 	 	-0.177 (0.314)	-0.260 (0.167)	 	 	 	 	0.928* (0.082)	0.680 (0.287)	 	 	 	 	-0.101 (0.590)	-0.191 (0.324)	 	 	 	 	1.910** (0.042)	2.021* (0.083)	 	 	 	 	-0.127 (0.517)	-0.200 (0.334)	 	 	 	 	1.618** (0.029)	1.795 (0.297)
Escolaridade média	 	 	 	 	-3.301 (0.177)	-1.334 (0.610)	 	 	 	 	1.093 (0.685)	2.403 (0.353)	 	 	 	 	-1.788 (0.415)	0.196 (0.937)	 	 	 	 	1.706 (0.595)	3.291 (0.256)	 	 	 	 	-2.021 (0.291)	-0.959 (0.647)	 	 	 	 	2.353 (0.498)	4.652 (0.183)	 	 	 	 	-2.602 (0.189)	-1.587 (0.443)	 	 	 	 	4.611 (0.191)	4.999 (0.180)	 	 	 	 	-1.139 (0.579)	-0.357 (0.868)	 	 	 	 	0.540 (0.911)	0.021 (0.997)
Densidade Populacional	 	 	 	 	-0.009 (0.535)	-0.010 (0.534)	 	 	 	 	-0.001 (0.205)	-0.001 (0.237)	 	 	 	 	-0.008** (0.030)	-0.008** (0.040)	 	 	 	 	-0.001 (0.238)	-0.001 (0.232)	 	 	 	 	-0.006** (0.022)	-0.006** (0.025)	 	 	 	 	-0.001 (0.396)	-0.001 (0.348)	 	 	 	 	-0.000 (0.602)	-0.000 (0.540)	 	 	 	 	-0.001 (0.162)	-0.001 (0.118)	 	 	 	 	-0.001 (0.476)	-0.001 (0.402)	 	 	 	 	-0.002 (0.189)	-0.002 (0.237)
Sobrelotação	 	 	 	 	0.756** (0.024)	0.684** (0.048)	 	 	 	 	-0.287 (0.604)	-0.228 (0.687)	 	 	 	 	0.846*** (0.006)	0.782** (0.012)	 	 	 	 	-0.340 (0.649)	-0.143 (0.853)	 	 	 	 	0.623** (0.028)	0.573** (0.046)	 	 	 	 	-0.436 (0.629)	-0.270 (0.762)	 	 	 	 	0.338 (0.244)	0.334 (0.243)	 	 	 	 	-0.504 (0.636)	-0.256 (0.796)	 	 	 	 	0.329 (0.276)	0.357 (0.227)	 	 	 	 	1.786 (0.189)	2.106 (0.230)
Dimensão média agregado	 	 	-7.253* (0.055)	-8.259** (0.038)	-8.043 (0.149)	-9.296* (0.097)	 	 	-6.256 (0.226)	-9.126* (0.065)	4.801 (0.569)	3.374 (0.689)	 	 	-9.246*** (0.006)	-10.567*** (0.003)	-11.836** (0.011)	-14.057*** (0.003)	 	 	-1.419 (0.839)	-4.550 (0.499)	14.671 (0.215)	12.173 (0.297)	 	 	-9.285*** (0.001)	-10.374*** (0.000)	-9.354** (0.022)	-10.655** (0.012)	 	 	6.957 (0.459)	2.475 (0.787)	26.955* (0.081)	23.373 (0.123)	 	 	-7.975*** (0.008)	-8.908*** (0.004)	-8.080* (0.071)	-9.495** (0.031)	 	 	0.620 (0.953)	-3.067 (0.789)	16.926 (0.337)	15.125 (0.402)	 	 	-9.986*** (0.001)	-10.963*** (0.000)	-10.172** (0.023)	-11.493*** (0.009)	 	 	9.239 (0.381)	-1.325 (0.912)	-1.603 (0.944)	-9.836 (0.707)
