	R_low_80_1	R_low_80_2	R_low_80_3	R_low_80_4	R_low_80_5	R_low_80_6	R_high_80_1	R_high_80_2	R_high_80_3	R_high_80_4	R_high_80_5	R_high_80_6	R_low_85_1	R_low_85_2	R_low_85_3	R_low_85_4	R_low_85_5	R_low_85_6	R_high_85_1	R_high_85_2	R_high_85_3	R_high_85_4	R_high_85_5	R_high_85_6	R_low_90_1	R_low_90_2	R_low_90_3	R_low_90_4	R_low_90_5	R_low_90_6	R_high_90_1	R_high_90_2	R_high_90_3	R_high_90_4	R_high_90_5	R_high_90_6	R_low_95_1	R_low_95_2	R_low_95_3	R_low_95_4	R_low_95_5	R_low_95_6	R_high_95_1	R_high_95_2	R_high_95_3	R_high_95_4	R_high_95_5	R_high_95_6	R_low_100_1	R_low_100_2	R_low_100_3	R_low_100_4	R_low_100_5	R_low_100_6	R_high_100_1	R_high_100_2	R_high_100_3	R_high_100_4	R_high_100_5	R_high_100_6
IPCC	-0.288*** (0.005)	 	-0.156 (0.123)	 	0.076 (0.533)	 	0.036 (0.272)	 	0.048 (0.219)	 	0.073 (0.215)	 	-0.265*** (0.000)	 	-0.115 (0.103)	 	0.045 (0.593)	 	0.047 (0.209)	 	0.058 (0.193)	 	0.115** (0.049)	 	-0.273*** (0.000)	 	-0.163*** (0.001)	 	-0.006 (0.933)	 	0.009 (0.860)	 	0.049 (0.398)	 	0.097 (0.123)	 	-0.185*** (0.000)	 	-0.083* (0.092)	 	0.038 (0.556)	 	0.011 (0.843)	 	0.039 (0.534)	 	0.139** (0.020)	 	-0.107*** (0.005)	 	-0.027 (0.551)	 	0.057 (0.376)	 	0.035 (0.501)	 	0.076 (0.275)	 	0.198*** (0.006)	 
Rendimento mediano	 	-0.001** (0.048)	 	-0.001** (0.018)	 	0.000 (0.775)	 	-0.000 (0.663)	 	-0.000 (0.520)	 	-0.000 (0.870)	 	-0.002*** (0.001)	 	-0.001*** (0.002)	 	-0.000 (0.678)	 	-0.000 (0.939)	 	-0.000 (0.835)	 	0.000 (0.728)	 	-0.002*** (0.000)	 	-0.002*** (0.000)	 	-0.000 (0.807)	 	-0.001 (0.232)	 	-0.000 (0.460)	 	-0.000 (0.914)	 	-0.002*** (0.000)	 	-0.001*** (0.002)	 	0.000 (0.802)	 	-0.001 (0.238)	 	-0.001 (0.355)	 	0.001 (0.345)	 	-0.001*** (0.004)	 	-0.001* (0.057)	 	0.000 (0.539)	 	-0.001 (0.463)	 	-0.001 (0.494)	 	0.002 (0.429)
Renda mensal	 	 	 	 	-0.018 (0.285)	-0.017 (0.337)	 	 	 	 	-0.013 (0.482)	-0.008 (0.718)	 	 	 	 	-0.014 (0.364)	-0.010 (0.509)	 	 	 	 	-0.022 (0.323)	-0.018 (0.493)	 	 	 	 	-0.013 (0.344)	-0.012 (0.361)	 	 	 	 	-0.018 (0.484)	-0.012 (0.692)	 	 	 	 	-0.007 (0.589)	-0.005 (0.665)	 	 	 	 	-0.031 (0.330)	-0.029 (0.462)	 	 	 	 	-0.011 (0.427)	-0.009 (0.471)	 	 	 	 	-0.010 (0.730)	-0.004 (0.936)
Taxa de desemprego	 	 	 	 	-0.004 (0.989)	-0.026 (0.928)	 	 	 	 	0.142 (0.677)	0.049 (0.882)	 	 	 	 	0.188 (0.479)	0.167 (0.519)	 	 	 	 	0.005 (0.991)	-0.113 (0.783)	 	 	 	 	0.184 (0.451)	0.183 (0.436)	 	 	 	 	0.053 (0.924)	-0.128 (0.832)	 	 	 	 	0.231 (0.238)	0.223 (0.257)	 	 	 	 	-0.247 (0.746)	-0.245 (0.746)	 	 	 	 	0.229 (0.255)	0.218 (0.277)	 	 	 	 	-1.880* (0.078)	-1.947 (0.149)
Gini	 	 	 	 	0.034 (0.907)	0.090 (0.772)	 	 	 	 	0.175 (0.597)	0.314 (0.342)	 	 	 	 	0.042 (0.867)	0.012 (0.965)	 	 	 	 	0.008 (0.985)	0.272 (0.524)	 	 	 	 	0.095 (0.671)	0.071 (0.768)	 	 	 	 	-0.246 (0.624)	0.004 (0.994)	 	 	 	 	0.180 (0.423)	0.215 (0.370)	 	 	 	 	-0.020 (0.973)	0.334 (0.545)	 	 	 	 	0.207 (0.349)	0.283 (0.227)	 	 	 	 	0.103 (0.884)	0.463 (0.680)
Residente estrangeiro	 	 	 	 	-0.140 (0.296)	-0.150 (0.298)	 	 	 	 	0.322 (0.239)	0.274 (0.375)	 	 	 	 	-0.209 (0.121)	-0.258* (0.077)	 	 	 	 	0.496 (0.106)	0.466 (0.175)	 	 	 	 	-0.176 (0.141)	-0.185 (0.132)	 	 	 	 	0.648* (0.062)	0.539 (0.201)	 	 	 	 	-0.146 (0.236)	-0.158 (0.204)	 	 	 	 	1.405** (0.037)	1.585* (0.057)	 	 	 	 	-0.149 (0.239)	-0.154 (0.243)	 	 	 	 	1.071* (0.058)	1.370 (0.308)
Escolaridade média	 	 	 	 	-2.027 (0.306)	-1.880 (0.365)	 	 	 	 	0.637 (0.742)	1.458 (0.416)	 	 	 	 	-1.061 (0.539)	-0.407 (0.831)	 	 	 	 	1.315 (0.559)	2.291 (0.246)	 	 	 	 	-1.551 (0.296)	-1.412 (0.376)	 	 	 	 	1.295 (0.584)	2.620 (0.272)	 	 	 	 	-1.870 (0.213)	-1.786 (0.253)	 	 	 	 	2.730 (0.242)	2.658 (0.290)	 	 	 	 	-0.747 (0.633)	-0.757 (0.642)	 	 	 	 	0.727 (0.837)	0.179 (0.968)
Densidade Populacional	 	 	 	 	0.001 (0.939)	0.001 (0.920)	 	 	 	 	-0.001 (0.257)	-0.000 (0.312)	 	 	 	 	-0.003 (0.234)	-0.003 (0.257)	 	 	 	 	-0.001 (0.286)	-0.001 (0.295)	 	 	 	 	-0.002 (0.204)	-0.002 (0.208)	 	 	 	 	-0.000 (0.543)	-0.000 (0.486)	 	 	 	 	0.000 (0.950)	-0.000 (0.953)	 	 	 	 	-0.001 (0.251)	-0.001 (0.191)	 	 	 	 	-0.000 (0.857)	-0.000 (0.720)	 	 	 	 	-0.001 (0.190)	-0.002 (0.228)
Sobrelotação	 	 	 	 	0.618** (0.018)	0.625** (0.020)	 	 	 	 	-0.086 (0.828)	-0.021 (0.960)	 	 	 	 	0.676*** (0.004)	0.656*** (0.005)	 	 	 	 	-0.046 (0.931)	0.119 (0.831)	 	 	 	 	0.558*** (0.009)	0.544*** (0.010)	 	 	 	 	-0.204 (0.757)	-0.031 (0.963)	 	 	 	 	0.421* (0.055)	0.444** (0.036)	 	 	 	 	-0.309 (0.672)	-0.051 (0.939)	 	 	 	 	0.404* (0.070)	0.445** (0.038)	 	 	 	 	1.420 (0.181)	1.770 (0.183)
Dimensão média agregado	 	 	-6.441** (0.016)	-7.319*** (0.009)	-9.037** (0.039)	-9.030** (0.040)	 	 	-3.137 (0.404)	-5.173 (0.154)	2.674 (0.659)	1.757 (0.770)	 	 	-7.668*** (0.001)	-8.644*** (0.000)	-10.957*** (0.002)	-11.692*** (0.001)	 	 	0.874 (0.862)	-1.326 (0.785)	10.867 (0.206)	9.055 (0.283)	 	 	-7.283*** (0.000)	-8.024*** (0.000)	-9.325*** (0.002)	-9.452*** (0.002)	 	 	5.650 (0.427)	2.422 (0.725)	18.298 (0.122)	16.356 (0.154)	 	 	-6.330*** (0.002)	-6.931*** (0.001)	-8.489** (0.011)	-8.713*** (0.007)	 	 	0.901 (0.908)	-1.870 (0.820)	10.871 (0.354)	9.050 (0.472)	 	 	-7.794*** (0.000)	-8.423*** (0.000)	-9.808*** (0.003)	-9.984*** (0.002)	 	 	8.697 (0.225)	0.272 (0.973)	2.208 (0.898)	-4.878 (0.811)
Temperatura média	-1.075*** (0.002)	-1.235*** (0.001)	-1.128*** (0.001)	-0.909** (0.012)	-1.186** (0.035)	-1.190** (0.044)	-0.127 (0.792)	0.044 (0.928)	-0.125 (0.822)	-0.164 (0.767)	-0.519 (0.451)	-0.529 (0.472)	-0.788*** (0.009)	-0.852*** (0.010)	-0.975*** (0.001)	-0.733** (0.017)	-0.756* (0.095)	-0.702 (0.141)	-0.408 (0.495)	-0.197 (0.741)	-0.284 (0.681)	-0.288 (0.677)	-0.999 (0.247)	-0.977 (0.276)	-0.743*** (0.007)	-0.740** (0.015)	-0.883*** (0.001)	-0.644** (0.017)	-0.700* (0.086)	-0.679 (0.109)	-0.861 (0.220)	-0.849 (0.233)	-0.355 (0.658)	-0.507 (0.517)	-1.300 (0.228)	-1.107 (0.359)	-0.760*** (0.005)	-0.805*** (0.004)	-0.877*** (0.001)	-0.745*** (0.005)	-0.747* (0.051)	-0.757* (0.060)	-0.748 (0.391)	-0.676 (0.442)	-0.128 (0.895)	-0.224 (0.809)	-2.422** (0.048)	-2.812* (0.067)	-0.961*** (0.001)	-0.973*** (0.001)	-1.101*** (0.000)	-1.043*** (0.001)	-0.904** (0.027)	-0.940** (0.029)	1.366* (0.063)	1.382* (0.091)	1.736** (0.037)	1.470* (0.052)	-1.413 (0.241)	-2.671 (0.303)
Amplitude térmica	 	 	 	 	0.319 (0.509)	0.362 (0.460)	 	 	 	 	0.457 (0.246)	0.569 (0.135)	 	 	 	 	0.152 (0.694)	0.167 (0.663)	 	 	 	 	0.254 (0.597)	0.439 (0.358)	 	 	 	 	0.212 (0.493)	0.201 (0.508)	 	 	 	 	-0.324 (0.599)	-0.141 (0.819)	 	 	 	 	0.271 (0.317)	0.298 (0.263)	 	 	 	 	-0.528 (0.447)	-0.389 (0.600)	 	 	 	 	0.230 (0.394)	0.271 (0.301)	 	 	 	 	1.622 (0.148)	1.792 (0.201)
Índice necessidade reparação	 	 	 	 	0.031 (0.169)	0.034 (0.137)	 	 	 	 	-0.009 (0.825)	-0.013 (0.765)	 	 	 	 	0.020 (0.316)	0.018 (0.388)	 	 	 	 	0.025 (0.685)	0.022 (0.726)	 	 	 	 	0.019 (0.326)	0.018 (0.357)	 	 	 	 	0.079 (0.313)	0.071 (0.375)	 	 	 	 	0.012 (0.541)	0.013 (0.532)	 	 	 	 	0.130 (0.106)	0.145 (0.110)	 	 	 	 	0.006 (0.759)	0.008 (0.698)	 	 	 	 	0.304*** (0.003)	0.293** (0.027)
Idade média alojamento	 	 	 	 	0.136 (0.323)	0.149 (0.288)	 	 	 	 	0.063 (0.769)	0.125 (0.575)	 	 	 	 	0.021 (0.869)	0.017 (0.894)	 	 	 	 	0.135 (0.546)	0.234 (0.334)	 	 	 	 	0.022 (0.849)	0.020 (0.859)	 	 	 	 	0.310 (0.269)	0.376 (0.222)	 	 	 	 	0.027 (0.786)	0.027 (0.792)	 	 	 	 	0.203 (0.627)	0.419 (0.315)	 	 	 	 	-0.003 (0.976)	0.001 (0.994)	 	 	 	 	0.012 (0.981)	0.421 (0.670)
Proporção com encargos alojamento	 	 	-0.072 (0.266)	-0.097 (0.107)	-0.119 (0.168)	-0.109 (0.205)	 	 	-0.060 (0.245)	-0.004 (0.931)	-0.091 (0.327)	-0.080 (0.417)	 	 	-0.065 (0.207)	-0.078* (0.075)	-0.132* (0.077)	-0.122* (0.098)	 	 	-0.042 (0.520)	0.016 (0.765)	-0.100 (0.372)	-0.110 (0.380)	 	 	-0.055 (0.198)	-0.088** (0.014)	-0.109* (0.088)	-0.110* (0.076)	 	 	-0.192* (0.059)	-0.121 (0.179)	-0.217 (0.169)	-0.226 (0.179)	 	 	-0.061 (0.139)	-0.067** (0.048)	-0.104* (0.096)	-0.096 (0.127)	 	 	-0.241* (0.073)	-0.177 (0.117)	-0.348** (0.034)	-0.386** (0.041)	 	 	-0.049 (0.245)	-0.033 (0.355)	-0.113* (0.080)	-0.101 (0.113)	 	 	-0.242 (0.144)	-0.188 (0.212)	-0.162 (0.457)	-0.159 (0.651)
Direita	 	 	 	 	1.752 (0.415)	1.563 (0.453)	 	 	 	 	0.632 (0.714)	0.577 (0.738)	 	 	 	 	-0.510 (0.800)	-0.642 (0.738)	 	 	 	 	1.551 (0.437)	1.404 (0.521)	 	 	 	 	-0.392 (0.798)	-0.417 (0.786)	 	 	 	 	2.977 (0.355)	2.384 (0.513)	 	 	 	 	-0.294 (0.841)	-0.321 (0.827)	 	 	 	 	5.709* (0.096)	5.476 (0.162)	 	 	 	 	0.773 (0.573)	0.758 (0.580)	 	 	 	 	4.628 (0.179)	2.887 (0.593)
Esquerda	 	 	 	 	-0.040 (0.984)	-0.220 (0.911)	 	 	 	 	1.230 (0.464)	1.085 (0.496)	 	 	 	 	-1.761 (0.371)	-1.829 (0.329)	 	 	 	 	2.981 (0.105)	2.464 (0.173)	 	 	 	 	-1.416 (0.348)	-1.423 (0.343)	 	 	 	 	3.459 (0.214)	2.717 (0.345)	 	 	 	 	-1.484 (0.290)	-1.532 (0.271)	 	 	 	 	9.711*** (0.004)	8.931** (0.015)	 	 	 	 	-0.300 (0.821)	-0.363 (0.782)	 	 	 	 	7.720* (0.060)	5.059 (0.450)
Maioria absoluta	 	 	 	 	0.108 (0.928)	0.112 (0.926)	 	 	 	 	-1.115 (0.317)	-1.229 (0.281)	 	 	 	 	0.534 (0.576)	0.584 (0.544)	 	 	 	 	-1.988 (0.150)	-2.004 (0.161)	 	 	 	 	0.602 (0.476)	0.611 (0.467)	 	 	 	 	-2.220 (0.170)	-2.188 (0.195)	 	 	 	 	0.629 (0.436)	0.644 (0.428)	 	 	 	 	-2.996 (0.191)	-3.130 (0.165)	 	 	 	 	-0.304 (0.720)	-0.300 (0.727)	 	 	 	 	-1.579 (0.505)	-1.513 (0.688)
