	R_Norte_1	R_Norte_2	R_Norte_3	R_Norte_4	R_Norte_5	R_Norte_6	R_Algarve_1	R_Algarve_2	R_Algarve_3	R_Algarve_4	R_Algarve_5	R_Algarve_6	R_Centro_1	R_Centro_2	R_Centro_3	R_Centro_4	R_Centro_5	R_Centro_6	R_AMLisboa_1	R_AMLisboa_2	R_AMLisboa_3	R_AMLisboa_4	R_AMLisboa_5	R_AMLisboa_6	R_Alentejo_1	R_Alentejo_2	R_Alentejo_3	R_Alentejo_4	R_Alentejo_5	R_Alentejo_6
IPCC	-0.107** (0.034)	 	0.054 (0.442)	 	0.344* (0.057)	 	0.088 (0.705)	 	0.434** (0.014)	 	-0.535 (.)	 	-0.190*** (0.004)	 	-0.061 (0.408)	 	0.041 (0.741)	 	0.065 (0.466)	 	0.040 (0.658)	 	-2.329 (.)	 	-0.021 (0.729)	 	-0.002 (0.984)	 	0.057 (0.682)	 
Rendimento mediano	 	-0.001* (0.089)	 	0.000 (0.748)	 	0.002 (0.302)	 	0.002 (0.651)	 	0.006* (0.083)	 	-0.016 (.)	 	-0.002*** (0.009)	 	0.000 (0.776)	 	0.002 (0.132)	 	-0.001 (0.270)	 	-0.001 (0.337)	 	-0.113 (.)	 	-0.001 (0.425)	 	-0.001 (0.462)	 	-0.001 (0.337)
Renda mensal	 	 	 	 	0.011 (0.782)	0.015 (0.706)	 	 	 	 	-0.020 (.)	0.352 (.)	 	 	 	 	-0.005 (0.852)	-0.014 (0.571)	 	 	 	 	1.183 (.)	0.354 (.)	 	 	 	 	-0.020 (0.520)	-0.013 (0.657)
Taxa de desemprego	 	 	 	 	0.941 (0.117)	0.850 (0.149)	 	 	 	 	0.279 (.)	-3.671 (.)	 	 	 	 	0.731 (0.263)	0.631 (0.328)	 	 	 	 	-2.445 (.)	-46.993 (.)	 	 	 	 	0.229 (0.577)	0.119 (0.781)
Gini	 	 	 	 	-0.034 (0.953)	0.581 (0.408)	 	 	 	 	7.870 (.)	-4.208 (.)	 	 	 	 	-0.266 (0.681)	0.013 (0.984)	 	 	 	 	9.174 (.)	9.462 (.)	 	 	 	 	-1.530*** (0.002)	-1.468*** (0.003)
Residente estrangeiro	 	 	 	 	0.784 (0.179)	1.104* (0.091)	 	 	 	 	-3.059 (.)	-2.688 (.)	 	 	 	 	0.010 (0.985)	0.267 (0.635)	 	 	 	 	-12.687 (.)	-8.309 (.)	 	 	 	 	0.488 (0.113)	0.245 (0.490)
Escolaridade média	 	 	 	 	-3.849 (0.286)	-4.508 (0.354)	 	 	 	 	0.000 (.)	0.000 (.)	 	 	 	 	0.767 (0.853)	-0.840 (0.813)	 	 	 	 	-94.698 (.)	10.705 (.)	 	 	 	 	5.559 (0.190)	7.677* (0.070)
Densidade Populacional	 	 	 	 	-0.006*** (0.003)	-0.004*** (0.006)	 	 	 	 	-0.141 (.)	-0.001 (.)	 	 	 	 	-0.005 (0.112)	-0.006** (0.034)	 	 	 	 	-0.001 (.)	-0.031 (.)	 	 	 	 	-0.043 (0.287)	-0.054 (0.206)
Sobrelotação	 	 	 	 	0.243 (0.692)	0.230 (0.701)	 	 	 	 	1.204 (.)	0.825 (.)	 	 	 	 	-0.004 (0.995)	0.181 (0.777)	 	 	 	 	-3.252 (.)	11.490 (.)	 	 	 	 	-0.188 (0.696)	-0.081 (0.873)
Dimensão média agregado	 	 	-4.235 (0.336)	-5.378 (0.174)	-2.300 (0.724)	0.701 (0.937)	 	 	16.441 (0.603)	59.470 (0.270)	0.000 (.)	0.000 (.)	 	 	-20.107*** (0.000)	-20.262*** (0.000)	-11.759* (0.082)	-11.419* (0.066)	 	 	-10.749 (0.686)	-15.514 (0.542)	-258.194 (.)	-469.435 (.)	 	 	-7.394 (0.465)	-8.718 (0.408)	-2.129 (0.860)	-2.478 (0.841)
Temperatura média	-3.718*** (0.001)	-3.906*** (0.000)	-1.565 (0.155)	-1.595 (0.146)	-2.400 (0.120)	-2.891* (0.054)	2.440 (0.513)	2.761 (0.329)	3.749** (0.042)	1.627 (0.688)	0.000 (.)	0.000 (.)	-2.392*** (0.000)	-2.437*** (0.001)	-2.111*** (0.001)	-2.120*** (0.000)	-1.806** (0.046)	-2.101** (0.017)	-1.045 (0.796)	-0.040 (0.992)	-2.425 (0.597)	-2.288 (0.586)	-12.724 (.)	120.625 (.)	4.395** (0.023)	4.549** (0.015)	4.517** (0.024)	4.730** (0.017)	8.015*** (0.000)	8.212*** (0.000)
Amplitude térmica	 	 	 	 	0.855 (0.453)	1.079 (0.334)	 	 	 	 	1.330 (.)	-6.848 (.)	 	 	 	 	0.329 (0.590)	0.460 (0.425)	 	 	 	 	3.823 (.)	1.013 (.)	 	 	 	 	-0.375 (0.638)	-0.573 (0.471)
Índice necessidade reparação	 	 	 	 	-0.031 (0.516)	-0.031 (0.521)	 	 	 	 	0.137 (.)	0.127 (.)	 	 	 	 	-0.012 (0.767)	0.009 (0.836)	 	 	 	 	0.267 (.)	-1.086 (.)	 	 	 	 	0.286*** (0.000)	0.293*** (0.000)
Idade média alojamento	 	 	 	 	0.226 (0.559)	0.343 (0.384)	 	 	 	 	-0.552 (.)	-1.998 (.)	 	 	 	 	0.298 (0.278)	0.314 (0.238)	 	 	 	 	9.579 (.)	-3.446 (.)	 	 	 	 	-0.223 (0.237)	-0.288 (0.110)
Proporção com encargos alojamento	 	 	-0.281*** (0.004)	-0.244*** (0.002)	-0.235 (0.169)	-0.145 (0.352)	 	 	-1.299*** (0.002)	-1.070** (0.026)	1.224 (.)	-0.938 (.)	 	 	-0.067 (0.380)	-0.132* (0.071)	-0.138 (0.497)	-0.148 (0.465)	 	 	0.506 (0.523)	0.538 (0.474)	6.213 (.)	5.350 (.)	 	 	-0.003 (0.983)	0.043 (0.741)	-0.155 (0.329)	-0.141 (0.415)
Direita	 	 	 	 	-7.031** (0.017)	-8.777** (0.018)	 	 	 	 	-3.152 (.)	-2.968 (.)	 	 	 	 	2.748 (0.157)	3.141* (0.085)	 	 	 	 	-137.310 (.)	-202.768 (.)	 	 	 	 	-6.143*** (0.008)	-5.999*** (0.002)
Esquerda	 	 	 	 	-8.523*** (0.004)	-10.470*** (0.005)	 	 	 	 	0.000 (.)	0.000 (.)	 	 	 	 	2.373 (0.208)	2.658 (0.145)	 	 	 	 	-95.177 (.)	-240.701 (.)	 	 	 	 	-3.796* (0.082)	-3.279* (0.064)
Maioria absoluta	 	 	 	 	0.718 (0.768)	0.214 (0.934)	 	 	 	 	-1.436 (.)	4.682 (.)	 	 	 	 	-2.889 (0.169)	-3.174 (0.120)	 	 	 	 	-17.103 (.)	44.127 (.)	 	 	 	 	3.016* (0.064)	3.173* (0.062)
Constante	74.483*** (0.000)	82.382*** (0.000)	52.508** (0.015)	55.321** (0.010)	43.901 (0.246)	15.145 (0.745)	-44.227 (0.357)	-61.610* (0.067)	-67.293 (0.281)	-171.091* (0.061)	-272.819 (.)	475.622 (.)	59.836*** (0.000)	64.405*** (0.000)	96.495*** (0.000)	92.254*** (0.000)	54.018* (0.063)	40.208 (0.165)	17.494 (0.810)	24.655 (0.742)	37.410 (0.751)	65.003 (0.511)	611.617 (.)	354.901 (.)	-66.957* (0.053)	-65.335** (0.047)	-52.826 (0.205)	-48.316 (0.239)	-100.556*** (0.007)	-99.085*** (0.005)
Obs.	84.000	84.000	84.000	84.000	84.000	84.000	14.000	14.000	14.000	14.000	14.000	14.000	98.000	98.000	98.000	98.000	98.000	98.000	18.000	18.000	18.000	18.000	18.000	18.000	53.000	53.000	53.000	53.000	53.000	53.000
Estatística F	18.257	17.645	13.088	13.011	14.106	8.792	2.250	2.359	12.184	5.524	.	.	15.619	15.970	23.503	23.652	8.752	10.039	0.318	0.675	0.291	0.549	.	.	3.190	3.490	1.914	2.145	11.417	9.408
Prob > F	0.000	0.000	0.000	0.000	0.000	0.000	0.152	0.140	0.001	0.016	.	.	0.000	0.000	0.000	0.000	0.000	0.000	0.732	0.524	0.878	0.703	.	.	0.050	0.038	0.123	0.090	0.000	0.000
R-quadrado	0.286	0.280	0.431	0.428	0.519	0.512	0.131	0.123	0.654	0.489	1.000	1.000	0.294	0.260	0.437	0.434	0.494	0.506	0.056	0.045	0.105	0.124	1.000	1.000	0.081	0.086	0.093	0.100	0.546	0.553
R-quadrado ajustado	0.269	0.262	0.402	0.399	0.396	0.386	-0.027	-0.036	0.500	0.261	.	.	0.279	0.244	0.412	0.409	0.386	0.401	-0.070	-0.083	-0.171	-0.146	.	.	0.045	0.050	0.017	0.025	0.326	0.335
Raíz Erro-Quadrado Médio	6.208	6.236	5.615	5.628	5.644	5.689	8.532	8.573	5.954	7.237	0.000	0.000	5.557	5.689	5.017	5.031	5.128	5.065	7.380	7.425	7.721	7.638	0.000	0.000	5.590	5.575	5.670	5.647	4.697	4.662
* p<0.10, ** p<0.05, *** p<0.01
