	R_Norte_1	R_Norte_2	R_Norte_3	R_Norte_4	R_Norte_5	R_Norte_6	R_Algarve_1	R_Algarve_2	R_Algarve_3	R_Algarve_4	R_Algarve_5	R_Algarve_6	R_Centro_1	R_Centro_2	R_Centro_3	R_Centro_4	R_Centro_5	R_Centro_6	R_AMLisboa_1	R_AMLisboa_2	R_AMLisboa_3	R_AMLisboa_4	R_AMLisboa_5	R_AMLisboa_6	R_Alentejo_1	R_Alentejo_2	R_Alentejo_3	R_Alentejo_4	R_Alentejo_5	R_Alentejo_6
IPCC	-0.066 (0.108)	 	0.035 (0.534)	 	0.277* (0.060)	 	0.076 (0.675)	 	0.320** (0.028)	 	-0.220 (.)	 	-0.130*** (0.006)	 	-0.057 (0.272)	 	-0.008 (0.932)	 	0.049 (0.395)	 	0.031 (0.597)	 	-1.172 (.)	 	0.002 (0.957)	 	0.010 (0.869)	 	0.054 (0.597)	 
Rendimento mediano	 	-0.001 (0.289)	 	0.000 (0.615)	 	0.003 (0.204)	 	0.000 (0.878)	 	0.003 (0.215)	 	-0.006 (.)	 	-0.001** (0.021)	 	0.000 (0.729)	 	0.002** (0.029)	 	-0.001 (0.379)	 	-0.001 (0.459)	 	-0.057 (.)	 	-0.000 (0.572)	 	-0.000 (0.505)	 	-0.001 (0.405)
Renda mensal	 	 	 	 	0.003 (0.934)	0.003 (0.938)	 	 	 	 	-0.089 (.)	0.064 (.)	 	 	 	 	-0.002 (0.915)	-0.014 (0.387)	 	 	 	 	0.638 (.)	0.221 (.)	 	 	 	 	-0.010 (0.657)	-0.004 (0.836)
Taxa de desemprego	 	 	 	 	0.389 (0.430)	0.345 (0.476)	 	 	 	 	1.080 (.)	-0.545 (.)	 	 	 	 	0.552 (0.251)	0.485 (0.296)	 	 	 	 	-2.744 (.)	-25.154 (.)	 	 	 	 	-0.011 (0.968)	-0.086 (0.771)
Gini	 	 	 	 	-0.139 (0.765)	0.461 (0.424)	 	 	 	 	7.087 (.)	2.117 (.)	 	 	 	 	-0.123 (0.811)	0.115 (0.826)	 	 	 	 	4.451 (.)	4.595 (.)	 	 	 	 	-0.974*** (0.004)	-0.917*** (0.005)
Residente estrangeiro	 	 	 	 	0.308 (0.529)	0.591 (0.257)	 	 	 	 	-1.942 (.)	-1.789 (.)	 	 	 	 	-0.129 (0.734)	0.115 (0.758)	 	 	 	 	-5.735 (.)	-3.533 (.)	 	 	 	 	0.266 (0.212)	0.095 (0.707)
Escolaridade média	 	 	 	 	-1.861 (0.545)	-3.234 (0.440)	 	 	 	 	0.000 (.)	0.000 (.)	 	 	 	 	0.601 (0.862)	-1.509 (0.593)	 	 	 	 	-52.292 (.)	0.731 (.)	 	 	 	 	2.045 (0.477)	3.487 (0.225)
Densidade Populacional	 	 	 	 	-0.005*** (0.005)	-0.003*** (0.010)	 	 	 	 	-0.126 (.)	-0.069 (.)	 	 	 	 	-0.002 (0.371)	-0.004* (0.075)	 	 	 	 	-0.001 (.)	-0.016 (.)	 	 	 	 	-0.010 (0.728)	-0.018 (0.556)
Sobrelotação	 	 	 	 	0.595 (0.212)	0.625 (0.175)	 	 	 	 	0.082 (.)	-0.074 (.)	 	 	 	 	0.298 (0.589)	0.463 (0.375)	 	 	 	 	-2.181 (.)	5.235 (.)	 	 	 	 	-0.028 (0.934)	0.062 (0.864)
Dimensão média agregado	 	 	-5.208 (0.110)	-5.532* (0.069)	-6.890 (0.182)	-3.471 (0.623)	 	 	13.562 (0.553)	41.429 (0.349)	0.000 (.)	0.000 (.)	 	 	-14.258*** (0.000)	-14.396*** (0.000)	-11.000** (0.045)	-10.144** (0.038)	 	 	-8.348 (0.634)	-12.156 (0.469)	-134.440 (.)	-240.706 (.)	 	 	-3.718 (0.575)	-4.430 (0.541)	-1.185 (0.891)	-1.500 (0.866)
Temperatura média	-2.604*** (0.005)	-2.781*** (0.003)	-1.029 (0.279)	-1.043 (0.270)	-1.584 (0.252)	-1.909 (0.149)	0.999 (0.721)	1.701 (0.382)	1.836 (0.263)	0.813 (0.815)	0.000 (.)	0.000 (.)	-1.467*** (0.001)	-1.528*** (0.002)	-1.314*** (0.002)	-1.322*** (0.001)	-0.906 (0.144)	-1.137* (0.051)	-0.668 (0.785)	-0.006 (0.998)	-1.712 (0.544)	-1.726 (0.510)	-6.276 (.)	60.806 (.)	3.008** (0.025)	3.022** (0.017)	3.073** (0.026)	3.177** (0.020)	5.422*** (0.000)	5.511*** (0.000)
Amplitude térmica	 	 	 	 	0.985 (0.287)	1.142 (0.206)	 	 	 	 	2.552 (.)	-0.814 (.)	 	 	 	 	0.195 (0.648)	0.285 (0.467)	 	 	 	 	1.401 (.)	-0.013 (.)	 	 	 	 	-0.221 (0.685)	-0.371 (0.501)
Índice necessidade reparação	 	 	 	 	-0.020 (0.617)	-0.021 (0.613)	 	 	 	 	-0.152 (.)	-0.156 (.)	 	 	 	 	-0.006 (0.817)	0.017 (0.558)	 	 	 	 	0.232 (.)	-0.449 (.)	 	 	 	 	0.195*** (0.000)	0.200*** (0.000)
Idade média alojamento	 	 	 	 	0.158 (0.622)	0.236 (0.477)	 	 	 	 	0.717 (.)	0.122 (.)	 	 	 	 	0.175 (0.353)	0.185 (0.307)	 	 	 	 	5.302 (.)	-1.250 (.)	 	 	 	 	-0.121 (0.310)	-0.167 (0.136)
